id_x,user_id,book_id,quantity,unit_price,timestamp,shipping,id_y,name,address,phone,email,id,title,author,genre,publisher,year,paid_price,date,user_key,author_set
67187,47497,19429,1,69.0,2025-01-20 21:14:00.000,,47497,Eileen Lind,"888 Derrick Port, West Renateberg, WA 00789-1098",(887) 705-1563,ruben@mills.test,19429,Pokémon Crystal,"Msgr. Frances Fritsch, Rudy Wisozk, Elijah Bernhard",Historical fiction,J. M. Dent,1991,69.0,2025-01-20,"ruben@mills.test(887) 705-1563888 Derrick Port, West Renateberg, WA 00789-1098","('Elijah Bernhard', 'Msgr. Frances Fritsch', 'Rudy Wisozk')"
64981,46213,19450,1,31.99,2024-10-03 19:46:00.000,,46213,Jefferey Auer MD,"Apt. 225 4158 Mario Lodge, Garyhaven, CO 16804",122 067 3942,kandice@padberg-renner.example,19450,I Will Fear No Evil,Travis Moore,Crime/Detective,Cisco Press,2008,31.99,2024-10-03,"kandice@padberg-renner.example122 067 3942Apt. 225 4158 Mario Lodge, Garyhaven, CO 16804","('Travis Moore',)"
71724,45512,18966,2,55.5,2024-11-01 13:56:57.000,,45512,Dr. Wilbert O'Hara,"Apt. 719 921 Blair Camp, Thielmouth, DE 35990",978-428-4898,geoffrey.shields@parker-cummings.test,18966,The Bodyguard,Rob Veum,Mythopoeia,Ignatius Press,1998,111.0,2024-11-01,"geoffrey.shields@parker-cummings.test978-428-4898Apt. 719 921 Blair Camp, Thielmouth, DE 35990","('Rob Veum',)"
65678,46448,19495,1,30.25,2024-10-03 03:34:00.000,,46448,Allyn Flatley,"Suite 261 33370 Stroman Plaza, South Janellchester, NM 96003-6361",(442) 039-5839,giovanni@swift.example,19495,Frozen,Yuri O'Reilly,Science fiction,Adis International,2024,30.25,2024-10-03,"giovanni@swift.example(442) 039-5839Suite 261 33370 Stroman Plaza, South Janellchester, NM 96003-6361","(""Yuri O'Reilly"",)"
73631,46411,19325,1,32.0,2024-08-09 16:02:42.627,"72116 Guy Inlet, West Dionton, WA 64694",46411,Mayra Rowe,"72116 Guy Inlet, West Dionton, WA 64694",483 654 5489,reyes.berge@mante-reichert.example,19325,Arms and the Man,"Collette Zieme Esq., Leone Ondricka IV",Humor,Borgo Press,2001,32.0,2024-08-09,"reyes.berge@mante-reichert.example483 654 548972116 Guy Inlet, West Dionton, WA 64694","('Collette Zieme Esq.', 'Leone Ondricka IV')"
66496,46161,19565,1,67.5,2024-09-08 22:25:43.253,"Apt. 906 66777 Doyle Islands, Donettatown, MD 67566",46161,Genna Funk,"Apt. 906 66777 Doyle Islands, Donettatown, MD 67566",678-586-2975,darin.klein@wuckert.test,19565,Groundhog Day,Nadene Gorczany,Historical fiction,Addison-Wesley,1990,67.5,2024-09-08,"darin.klein@wuckert.test678-586-2975Apt. 906 66777 Doyle Islands, Donettatown, MD 67566","('Nadene Gorczany',)"
71989,45265,19314,3,31.99,2024-05-11 05:41:37.000,"939 Colby Square, Boganbury, AL 07963",45265,Arlette Abernathy,"939 Colby Square, Boganbury, AL 07963",129-648-3294,andy.kutch@turcotte.example,19314,Princess Mononoke,"Kaci Skiles, Tessa Pfeffer DC, Johnnie Hoeger",Short story,McGraw Hill Financial,1886,95.97,2024-05-11,"andy.kutch@turcotte.example129-648-3294939 Colby Square, Boganbury, AL 07963","('Johnnie Hoeger', 'Kaci Skiles', 'Tessa Pfeffer DC')"
71813,47305,19584,1,43.0,2024-08-08 07:18:18.046,"Suite 719 168 Bayer Land, Lake Jaimie, CO 89572-5698",47305,Linwood Williamson,"Suite 719 168 Bayer Land, Lake Jaimie, CO 89572-5698",837.652.7663,cletus@feest.test,19584,Fair Stood the Wind for France,Chante Stamm,Narrative nonfiction,Zondervan,1980,43.0,2024-08-08,"cletus@feest.test837.652.7663Suite 719 168 Bayer Land, Lake Jaimie, CO 89572-5698","('Chante Stamm',)"
64706,45141,19127,1,58.0,2025-03-18 20:43:05.000,NULL,45141,Grace Kertzmann,"97464 Kuvalis Plains, Shakirafurt, CO 49336",630 717 4662,lonny.gusikowski@crona.example,19127,The Grand Budapest Hotel,Zackary Kassulke,Mythology,Academic Press,1996,58.0,2025-03-18,"lonny.gusikowski@crona.example630 717 466297464 Kuvalis Plains, Shakirafurt, CO 49336","('Zackary Kassulke',)"
64702,46531,18880,1,70.0,2024-12-24 09:16:50.000,"Apt. 264 3599 Balistreri Turnpike, West Luigistad, MT 75332",46531,Lily VonRueden,"Apt. 264 3599 Balistreri Turnpike, West Luigistad, MT 75332",512 006 9583,kathrin@upton.test,18880,A Wednesday,"Rossana Koelpin, Normand Walter, Maynard Strosin CPA",Fiction in verse,Borgo Press,2026,70.0,2024-12-24,"kathrin@upton.test512 006 9583Apt. 264 3599 Balistreri Turnpike, West Luigistad, MT 75332","('Maynard Strosin CPA', 'Normand Walter', 'Rossana Koelpin')"
71292,44947,19474,1,33.0,2024-08-02 18:44:05.000,NULL,44947,Milford Kuphal,"1631 Delmar Ports, North Yukochester, OK 69159-7522",646.180.4664,georgine@ziemann-rogahn.example,19474,Unforgiven,Jeffery Lubowitz,Short story,Target Books,1985,33.0,2024-08-02,"georgine@ziemann-rogahn.example646.180.46641631 Delmar Ports, North Yukochester, OK 69159-7522","('Jeffery Lubowitz',)"
63887,47049,19056,1,25.25,2025-04-06 02:59:55.000,NULL,47049,Raven Connelly,"4940 Arnoldo Keys, West Arnette, KS 77599",107-013-1615,heath@graham.test,19056,The Woman in Me,Shane Homenick Sr.,Fantasy,Salt Publishing,1978,25.25,2025-04-06,"heath@graham.test107-013-16154940 Arnoldo Keys, West Arnette, KS 77599","('Shane Homenick Sr.',)"
63957,45745,19026,1,20.99,2024-11-11 22:55:32.000,NULL,45745,Rachelle Monahan,"88388 Yael Heights, Adriannechester, TN 09909-5873",514.955.7563,nichole@aufderhar.example,19026,Call of Duty: Black Ops,Marvel O'Hara,Suspense/Thriller,Papadakis Publisher,2023,20.99,2024-11-11,"nichole@aufderhar.example514.955.756388388 Yael Heights, Adriannechester, TN 09909-5873","(""Marvel O'Hara"",)"
72487,45195,18949,1,32.75,2025-01-26 03:09:51.000,NULL,45195,Angel Bogisich,"Suite 945 941 Hyatt Prairie, Laurieberg, NJ 10038-5092",(803) 089-1193,emmanuel@renner.test,18949,The Pianist,Lyda Terry,Horror,Blue Ribbon Books,1988,32.75,2025-01-26,"emmanuel@renner.test(803) 089-1193Suite 945 941 Hyatt Prairie, Laurieberg, NJ 10038-5092","('Lyda Terry',)"
69385,45952,19052,2,71.99,2024-12-07 17:37:37.240,"418 Tempie Mills, Rowemouth, WA 72824-4137",45952,Dr. Enedina Walker,"418 Tempie Mills, Rowemouth, WA 72824-4137",(276) 249-4509,soila@herzog-moore.example,19052,"The World, the Flesh and the Devil",Loreta Thompson,Mystery,Fearless Books,2007,143.98,2024-12-07,"soila@herzog-moore.example(276) 249-4509418 Tempie Mills, Rowemouth, WA 72824-4137","('Loreta Thompson',)"
72317,45007,19180,1,42.0,2024-09-03 15:49:29.000,NULL,45007,Roosevelt Volkman V,"83610 Okuneva Vista, Port Bobbiefort, ID 96753-3701",(438) 828-1762,verlene@huel.test,19180,The Green Mile,"Darnell Lakin, Tandra Ebert",Fanfiction,Schocken Books,1992,42.0,2024-09-03,"verlene@huel.test(438) 828-176283610 Okuneva Vista, Port Bobbiefort, ID 96753-3701","('Darnell Lakin', 'Tandra Ebert')"
63225,45415,19344,1,27.75,2025-07-28 21:35:15.000,NULL,45415,Isidro Pfannerstill,"33116 Schamberger Ridge, Reingerton, WY 45449",524 220 8413,bennie@mraz.test,19344,Command & Conquer: Rivals,Bruna Skiles,Horror,Parragon,1977,27.75,2025-07-28,"bennie@mraz.test524 220 841333116 Schamberger Ridge, Reingerton, WY 45449","('Bruna Skiles',)"
68712,45241,19480,1,74.0,2025-01-15 23:03:00.000,,45241,Ms. Reed Feest,"Suite 155 8709 Alonzo Field, Rickeyview, NH 31527-0270",496.140.5717,hae@deckow.example,19480,Star Wars: Episode VI - Return of the Jedi,"Vanna Hauck LLD, Alphonso Bednar MD, Alanna Mayer",Fairy tale,Orion Books,2006,74.0,2025-01-15,"hae@deckow.example496.140.5717Suite 155 8709 Alonzo Field, Rickeyview, NH 31527-0270","('Alanna Mayer', 'Alphonso Bednar MD', 'Vanna Hauck LLD')"
73890,45747,19445,1,62.5,2025-02-08 00:34:00.000,,45747,Msgr. Leo Walsh,"Apt. 714 23839 Santiago Plains, Lake Ernaberg, IN 38723-3176",527-068-1195,kala@doyle.test,19445,Pokémon Black 2,Kari Wiegand,Fable,Focal Press,2003,62.5,2025-02-08,"kala@doyle.test527-068-1195Apt. 714 23839 Santiago Plains, Lake Ernaberg, IN 38723-3176","('Kari Wiegand',)"
68918,46647,19046,2,23.0,2025-01-06 15:01:00.000,NULL,46647,Lashaunda O'Conner,"1487 Nikolaus Flat, West Rubinstad, NY 47647",654-532-6658,trenton@thompson.test,19046,Super Mario World,Keneth Crist,Fanfiction,NavPress,1929,46.0,2025-01-06,"trenton@thompson.test654-532-66581487 Nikolaus Flat, West Rubinstad, NY 47647","('Keneth Crist',)"
71959,46402,19041,1,16.25,2024-09-09 19:32:30.000,,46402,Cleora Mills,"8798 Lamar Loaf, New Scottiemouth, SD 96759-0322",276-242-7450,dudley@cummerata-abshire.example,19041,Specimen Days,Gino Kiehn,Folklore,Open Court Publishing Company,2012,16.25,2024-09-09,"dudley@cummerata-abshire.example276-242-74508798 Lamar Loaf, New Scottiemouth, SD 96759-0322","('Gino Kiehn',)"
65704,45546,19403,1,54.25,2025-05-19 19:56:20.000,,45546,Bernie Douglas,"282 Linh Coves, Denesikhaven, NM 52506",(227) 402-6270,keneth_bashirian@walsh.example,19403,Of Human Bondage,Cassi Herman,Folklore,Parragon,1978,54.25,2025-05-19,"keneth_bashirian@walsh.example(227) 402-6270282 Linh Coves, Denesikhaven, NM 52506","('Cassi Herman',)"
70138,46958,19111,4,26.75,2024-09-13 17:28:31.138,NULL,46958,Laurena Kuphal,"Suite 372 4304 Russel Glen, South Abigail, WV 82688",965.188.3075,tasha@quitzon.example,19111,Minecraft,"Vincenza Jerde, Normand Walter, Amb. Deon Herman, Maynard Strosin CPA, Gerda Torphy",Folklore,"Farrar, Straus & Giroux",1952,107.0,2024-09-13,"tasha@quitzon.example965.188.3075Suite 372 4304 Russel Glen, South Abigail, WV 82688","('Amb. Deon Herman', 'Gerda Torphy', 'Maynard Strosin CPA', 'Normand Walter', 'Vincenza Jerde')"
72306,45040,19456,1,31.0,2024-08-28 16:50:42.000,"Apt. 928 289 Oleta Course, Jannietown, AR 98094-3397",45040,Myrtle Glover,"Apt. 928 289 Oleta Course, Jannietown, AR 98094-3397",687-974-6190,blair@yost.test,19456,Hands All Over,Clarence Gulgowski,Folklore,Shoemaker & Hoard Publishers,2004,31.0,2024-08-28,"blair@yost.test687-974-6190Apt. 928 289 Oleta Course, Jannietown, AR 98094-3397","('Clarence Gulgowski',)"
64092,44593,19415,4,13.0,2024-08-06 11:49:00.000,,44593,Dr. Jewel Steuber,"Suite 691 172 Hane Skyway, Denitaton, SC 59643-2000",(322) 290-9944,bennett.mclaughlin@leffler-macejkovic.example,19415,Millennium,"Son Mueller, Milton Graham",Biography/Autobiography,Scholastic Press,1979,52.0,2024-08-06,"bennett.mclaughlin@leffler-macejkovic.example(322) 290-9944Suite 691 172 Hane Skyway, Denitaton, SC 59643-2000","('Milton Graham', 'Son Mueller')"
67909,44600,19361,5,36.99,2024-07-31 15:31:21.000,,44600,Derek Wisozk,"Suite 960 734 MacGyver Pass, Terrencebury, ME 12615",769 282 8709,ivory_volkman@rosenbaum.example,19361,No Jacket Required,"Reynalda Conn, Eleanor Stark",Essay,Edupedia Publications,1977,184.95000000000002,2024-07-31,"ivory_volkman@rosenbaum.example769 282 8709Suite 960 734 MacGyver Pass, Terrencebury, ME 12615","('Eleanor Stark', 'Reynalda Conn')"
64994,47232,19124,2,56.99,2024-05-22 00:44:00.000,NULL,47232,Karlyn Dietrich DC,"Suite 186 4127 Heller Expressway, Port Johnsiemouth, MD 12394",(308) 569-1804,alison@osinski.example,19124,Fight Club,Prof. Jeff Batz,Science fiction,T & T Clark,1981,113.98,2024-05-22,"alison@osinski.example(308) 569-1804Suite 186 4127 Heller Expressway, Port Johnsiemouth, MD 12394","('Prof. Jeff Batz',)"
73787,46946,19449,1,49.0,2024-10-31 23:39:16.000,,46946,Numbers Marquardt, ,995-404-0713,bao_grimes@swaniawski-howell.example,19449,Prisoners,"Denisha Cassin, Garfield Blick, Olin Windler",Mythopoeia,Da Capo Press,1982,49.0,2024-10-31,bao_grimes@swaniawski-howell.example995-404-0713 ,"('Denisha Cassin', 'Garfield Blick', 'Olin Windler')"
71212,45052,18968,4,66.0,2024-08-05 10:05:25.000,,45052,Ms. Sherryl Lynch,"Suite 949 466 Mills Ridge, New Camelliaton, RI 08003-4547",361 631 8448,guillermo@bahringer.example,18968,Dishonored,"Maynard Strosin CPA, Normand Walter",Crime/Detective,Ten Speed Press,2017,264.0,2024-08-05,"guillermo@bahringer.example361 631 8448Suite 949 466 Mills Ridge, New Camelliaton, RI 08003-4547","('Maynard Strosin CPA', 'Normand Walter')"
67853,45503,19262,5,67.75,2024-08-28 18:33:00.000,,45503,Imelda Mitchell,"Apt. 266 1676 Elenore Junction, Jasonfurt, CA 86103-4778",336.682.5085,harold.hansen@anderson.example,19262,The Shining,Prudence Cassin V,Biography/Autobiography,HarperTrophy,1983,338.75,2024-08-28,"harold.hansen@anderson.example336.682.5085Apt. 266 1676 Elenore Junction, Jasonfurt, CA 86103-4778","('Prudence Cassin V',)"
73029,46314,18923,2,26.75,2025-03-30 12:25:53.000,"Suite 277 5242 Blick Glens, New Breanaton, HI 59699-1995",46314,Prof. Jude Swaniawski,"Suite 277 5242 Blick Glens, New Breanaton, HI 59699-1995",393 978 6867,brigette@considine-lang.example,18923,La La Land,Dinah Anderson,Suspense/Thriller,Mainstream Publishing,1973,53.5,2025-03-30,"brigette@considine-lang.example393 978 6867Suite 277 5242 Blick Glens, New Breanaton, HI 59699-1995","('Dinah Anderson',)"
66475,46631,19275,2,53.75,2024-05-23 14:20:41.000,,46631,Jamison Jakubowski,"48038 Wuckert Estate, Dyanborough, CO 06342",(803) 285-1340,genie.stanton@satterfield.example,19275,The Cricket on the Hearth,"Hyo Hyatt MD, Penney Miller, Edison Ward VM",Comic/Graphic Novel,Etruscan Press,2021,107.5,2024-05-23,"genie.stanton@satterfield.example(803) 285-134048038 Wuckert Estate, Dyanborough, CO 06342","('Edison Ward VM', 'Hyo Hyatt MD', 'Penney Miller')"
63058,44643,19061,1,58.5,2024-12-03 16:36:00.000,"3570 Kulas Track, New Carie, WA 37270-0647",44643,Mendy Mohr,"3570 Kulas Track, New Carie, WA 37270-0647",314-708-2293,hubert@beier.example,19061,Mass Effect,Cortez Schmitt,Short story,Ten Speed Press,1988,58.5,2024-12-03,"hubert@beier.example314-708-22933570 Kulas Track, New Carie, WA 37270-0647","('Cortez Schmitt',)"
71145,45381,19126,1,26.25,2024-11-09 09:22:28.569,NULL,45381,Laila Bernhard,"937 Stamm Hills, Vincenzoborough, GA 97824",233-635-8155,jarod.christiansen@howell.test,19126,25,"Prof. Jason Breitenberg, Elfrieda Grant",Reference book,Belknap Press,1981,26.25,2024-11-09,"jarod.christiansen@howell.test233-635-8155937 Stamm Hills, Vincenzoborough, GA 97824","('Elfrieda Grant', 'Prof. Jason Breitenberg')"
70982,46397,19175,2,42.5,2024-11-02 17:52:38.000,NULL,46397,Keshia Sawayn,"Suite 704 197 Felicia Pike, Lonview, NM 19294",488-368-2500,grover@dubuque-oreilly.example,19175,2001: A Space Odyssey,Donn Jaskolski,Science fiction,Signet Books,1998,85.0,2024-11-02,"grover@dubuque-oreilly.example488-368-2500Suite 704 197 Felicia Pike, Lonview, NM 19294","('Donn Jaskolski',)"
69688,46686,19585,1,67.5,2025-01-14 18:43:22.000,NULL,46686,Christopher Mraz,"5497 Marco Turnpike, Schillerfort, ND 60769",767-113-6780,vannessa@hilll.example,19585,Metroid Prime,Carisa Blick,Horror,Hodder Headline,1985,67.5,2025-01-14,"vannessa@hilll.example767-113-67805497 Marco Turnpike, Schillerfort, ND 60769","('Carisa Blick',)"
67093,46519,19188,2,44.0,2024-08-06 07:17:52.000,,46519,Scotty Howe II,"4523 Miller Fort, Lake Christopher, KS 40386",979-879-6311,chance@conroy.test,19188,Day of the Tentacle,Thanh Prohaska,Comic/Graphic Novel,Etruscan Press,2016,88.0,2024-08-06,"chance@conroy.test979-879-63114523 Miller Fort, Lake Christopher, KS 40386","('Thanh Prohaska',)"
66816,46704,18993,1,65.99,2024-12-18 11:23:08.000,NULL,46704,Jacki Cole,"4596 Bayer Expressway, West Damionstad, MN 13127-8726",(857) 919-0079,clinton_kuphal@spencer.example,18993,Bayonetta,"Erick Dooley I, Morton Medhurst, Maynard Bartoletti Ret.",Short story,"Harry N. Abrams, Inc.",2002,65.99,2024-12-18,"clinton_kuphal@spencer.example(857) 919-00794596 Bayer Expressway, West Damionstad, MN 13127-8726","('Erick Dooley I', 'Maynard Bartoletti Ret.', 'Morton Medhurst')"
72327,45131,19408,2,22.75,2024-11-13 22:48:00.000,"7640 Reichel Island, Swaniawskichester, VA 38440-8395",45131,Dr. Dulce Welch,"7640 Reichel Island, Swaniawskichester, VA 38440-8395",397-216-6952,deetta_hilll@schaden.test,19408,Abbey Road,"Son Mueller, Milton Graham",Historical fiction,Tachyon Publications,1987,45.5,2024-11-13,"deetta_hilll@schaden.test397-216-69527640 Reichel Island, Swaniawskichester, VA 38440-8395","('Milton Graham', 'Son Mueller')"
73206,44765,19211,1,44.25,2025-04-26 18:28:00.000,"9556 Wilber Lights, North Jerrodhaven, MN 46135-2278",44765,Chris Herman II,"9556 Wilber Lights, North Jerrodhaven, MN 46135-2278",161-159-8292,arthur.runolfsson@konopelski.example,19211,Wolfenstein 2: The New Colossus,Sadye Romaguera,Classic,O'Reilly Media,1986,44.25,2025-04-26,"arthur.runolfsson@konopelski.example161-159-82929556 Wilber Lights, North Jerrodhaven, MN 46135-2278","('Sadye Romaguera',)"
71747,47604,19373,1,51.5,2025-02-10 02:39:59.000,"Apt. 490 3379 Griselda Plains, Lake Lenstad, SD 14094-0246",47604,Emelina Jakubowski,"Apt. 490 3379 Griselda Plains, Lake Lenstad, SD 14094-0246",133-618-6923,melvin_jakubowski@gulgowski.example,19373,In the Name of the Father,Evelyne Predovic,Science fiction,Imperial War Museum,1986,51.5,2025-02-10,"melvin_jakubowski@gulgowski.example133-618-6923Apt. 490 3379 Griselda Plains, Lake Lenstad, SD 14094-0246","('Evelyne Predovic',)"
70937,47539,19339,1,43.0,2024-07-03 22:34:56.461,"Suite 242 7639 Dania Cape, Michalebury, RI 33128",47539,Evia Harvey,"Suite 242 7639 Dania Cape, Michalebury, RI 33128",267 539 2967,carter@romaguera.example,19339,Rocky,"Claudio Gleason, Mui Upton DC, Audrea Reynolds, Antonio Hettinger",Humor,Hawthorne Books,2002,43.0,2024-07-03,"carter@romaguera.example267 539 2967Suite 242 7639 Dania Cape, Michalebury, RI 33128","('Antonio Hettinger', 'Audrea Reynolds', 'Claudio Gleason', 'Mui Upton DC')"
70434,46608,19558,1,33.99,2024-08-08 15:46:33.401,,46608,Nestor Christiansen I,"Apt. 165 393 Schoen Loaf, Carliville, NC 82754-7264",867 437 5931,lashunda@mante.example,19558,Mirror's Edge,Josef Connelly,Textbook,Blackstaff Press,2018,33.99,2024-08-08,"lashunda@mante.example867 437 5931Apt. 165 393 Schoen Loaf, Carliville, NC 82754-7264","('Josef Connelly',)"
73791,46548,18992,1,68.5,2025-04-15 13:12:56.000,,46548,Patrica Schumm DC,"574 Ankunding Common, Port Colemanburgh, ME 65220",227.438.5774,derick@vonrueden.example,18992,Mother Night,Sondra O'Reilly,Folklore,Left Book Club,1978,68.5,2025-04-15,"derick@vonrueden.example227.438.5774574 Ankunding Common, Port Colemanburgh, ME 65220","(""Sondra O'Reilly"",)"
66576,45440,19461,3,69.25,2025-03-31 01:39:35.000,NULL,45440,Spring Boyer,"Suite 380 403 Reinger Springs, New Dalemouth, NE 43780-2758",875 063 2382,karoline.olson@okon.example,19461,Thriller,"Fr. Jeremiah Larson, Ms. Chris Paucek",Suspense/Thriller,Mapin Publishing,2012,207.75,2025-03-31,"karoline.olson@okon.example875 063 2382Suite 380 403 Reinger Springs, New Dalemouth, NE 43780-2758","('Fr. Jeremiah Larson', 'Ms. Chris Paucek')"
72939,45726,19557,1,55.99,2024-12-09 21:27:00.000,,45726,Veta Bergnaum,"Apt. 797 53472 Adan Lodge, Medhurstfort, OR 15106",138.498.0228,jared@swift.example,19557,Mario Kart 8,Lanita MacGyver,Historical fiction,Naiad Press,2008,55.99,2024-12-09,"jared@swift.example138.498.0228Apt. 797 53472 Adan Lodge, Medhurstfort, OR 15106","('Lanita MacGyver',)"
69785,44614,19188,1,43.0,2025-01-18 04:17:28.000,"Suite 175 882 Collette Summit, North Averyburgh, PA 38143-4918",44614,Coy Corkery,"Suite 175 882 Collette Summit, North Averyburgh, PA 38143-4918",(942) 573-7185,devin.skiles@mitchell.test,19188,Day of the Tentacle,Thanh Prohaska,Comic/Graphic Novel,Etruscan Press,2016,43.0,2025-01-18,"devin.skiles@mitchell.test(942) 573-7185Suite 175 882 Collette Summit, North Averyburgh, PA 38143-4918","('Thanh Prohaska',)"
68121,46884,19105,1,34.75,2024-12-17 16:18:00.000,,46884,Oda Nikolaus,"Suite 969 80431 Connelly Camp, Greenshire, CA 02779",(409) 528-9596,carmina@runte.test,19105,Number the Stars,Bruno Beer,Biography/Autobiography,Reed Elsevier,1999,34.75,2024-12-17,"carmina@runte.test(409) 528-9596Suite 969 80431 Connelly Camp, Greenshire, CA 02779","('Bruno Beer',)"
69933,46026,19502,3,35.0,2024-11-01 10:30:26.000,,46026,Rosemarie Marks,"73221 Fisher Pine, Hyattshire, VT 00909-5646",481.737.9481,donnette.haley@marvin.test,19502,Puyo Puyo Tetris,"Msgr. Frances Fritsch, Broderick Lebsack, Rudy Wisozk, Elijah Bernhard",Fantasy,Jaico Publishing House,1991,105.0,2024-11-01,"donnette.haley@marvin.test481.737.948173221 Fisher Pine, Hyattshire, VT 00909-5646","('Broderick Lebsack', 'Elijah Bernhard', 'Msgr. Frances Fritsch', 'Rudy Wisozk')"
73060,47063,19220,1,60.0,2025-02-18 13:20:16.000,,47063,Vernon Rowe DO,"34578 Ramon Skyway, Wilkinsonhaven, VT 92035",(949) 359-1792,delta_emard@kirlin-sporer.example,19220,Brothers in Arms,Rep. Vergie Kohler,Mystery,Manning Publications,1879,60.0,2025-02-18,"delta_emard@kirlin-sporer.example(949) 359-179234578 Ramon Skyway, Wilkinsonhaven, VT 92035","('Rep. Vergie Kohler',)"
